Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,EmployeeID
Bachelors,2013,Bangalore,3,27,Male,No,5,0,1186
Bachelors,2017,Bangalore,1,39,Male,No,0,0,3267
Masters,2017,New Delhi,3,26,Male,Yes,4,1,400
Bachelors,2012,New Delhi,3,27,Female,No,5,0,1004
Bachelors,2016,Bangalore,3,28,Male,No,2,0,1501
Bachelors,2018,Bangalore,3,32,Male,No,4,1,3916
Bachelors,2013,Bangalore,3,37,Female,No,2,1,4501
Bachelors,2018,Bangalore,3,24,Female,No,2,1,1661
Bachelors,2013,Bangalore,3,38,Male,No,1,0,3210
Bachelors,2013,Bangalore,3,32,Male,No,1,0,3021
Bachelors,2013,Bangalore,1,27,Female,No,5,0,1891
Bachelors,2016,Pune,3,24,Male,No,2,0,1574
Bachelors,2012,New Delhi,3,22,Female,No,0,0,4256
Bachelors,2014,Pune,3,28,Male,Yes,4,0,4275
Bachelors,2014,Bangalore,3,24,Female,No,2,0,1278
Bachelors,2012,New Delhi,3,27,Female,No,5,0,827
Bachelors,2014,Pune,2,25,Female,No,3,1,659
Bachelors,2013,Pune,3,28,Male,No,2,0,226
Bachelors,2013,Bangalore,3,26,Male,No,4,0,4639
Bachelors,2017,Bangalore,3,25,Female,No,3,0,893
Bachelors,2014,Pune,2,29,Female,No,2,1,2068
Masters,2015,Pune,3,31,Male,No,0,0,4363
Bachelors,2012,Bangalore,3,28,Female,Yes,0,0,2733
Bachelors,2013,New Delhi,3,27,Female,No,5,0,198
Bachelors,2015,Pune,3,35,Female,No,1,1,3453
Bachelors,2017,Pune,2,28,Female,No,1,1,2619
Bachelors,2017,Bangalore,1,24,Male,No,2,0,1163
Masters,2017,Pune,2,39,Male,No,2,0,3753
Bachelors,2017,Bangalore,1,28,Female,No,3,0,1400
Bachelors,2017,New Delhi,3,26,Female,No,4,0,2918
Bachelors,2017,New Delhi,3,36,Female,No,0,0,3997
Bachelors,2013,Bangalore,1,40,Male,No,2,0,3368
Bachelors,2015,Bangalore,3,31,Male,No,2,1,4538
Masters,2014,Bangalore,3,27,Male,No,5,1,1877
Bachelors,2017,Pune,3,26,Female,No,4,1,2455
Bachelors,2017,New Delhi,2,26,Male,No,4,0,361
Bachelors,2013,Bangalore,3,31,Female,No,5,0,4644
Bachelors,2017,Bangalore,3,39,Male,No,3,0,3638
Bachelors,2013,Bangalore,3,37,Female,No,4,0,4282
Bachelors,2015,Bangalore,3,26,Male,No,4,0,923
Bachelors,2015,New Delhi,3,26,Female,No,4,0,2216
Bachelors,2018,Bangalore,3,23,Female,No,1,1,71
Bachelors,2014,Bangalore,3,24,Male,No,2,0,1335
Bachelors,2015,Pune,3,26,Male,No,4,0,1876
Masters,2017,Pune,3,25,Female,Yes,3,1,479
Bachelors,2015,New Delhi,3,28,Female,Yes,1,0,2091
Bachelors,2013,Pune,1,26,Female,No,4,1,1532
Bachelors,2016,Bangalore,3,27,Male,No,5,0,2097
Bachelors,2014,Bangalore,3,30,Male,No,1,0,2195
Bachelors,2015,Pune,1,30,Female,No,0,1,2641
Bachelors,2018,Bangalore,3,26,Male,No,4,1,290
Bachelors,2013,Pune,3,25,Male,No,3,0,102
Bachelors,2014,New Delhi,3,38,Female,No,1,0,3862
PHD,2017,New Delhi,3,28,Male,No,3,0,1873
Bachelors,2014,New Delhi,3,28,Male,No,5,0,1269
Masters,2017,New Delhi,3,26,Female,No,4,1,103
Bachelors,2018,Bangalore,3,30,Male,No,2,1,2073
Bachelors,2018,Bangalore,3,25,Female,No,3,1,1853
Masters,2014,Bangalore,3,27,Female,No,5,1,777
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,2304
Bachelors,2015,New Delhi,3,30,Male,No,5,0,4232
Bachelors,2012,Pune,2,29,Female,No,2,1,2726
Bachelors,2016,New Delhi,3,28,Male,No,1,0,820
Bachelors,2016,Pune,3,28,Male,No,3,0,1655
Bachelors,2017,Bangalore,3,34,Female,Yes,1,0,3386
Bachelors,2016,Bangalore,3,34,Male,No,4,0,3960
Bachelors,2014,Bangalore,3,27,Male,No,5,0,2519
Bachelors,2013,Bangalore,3,40,Female,No,3,0,4119
Bachelors,2015,Bangalore,3,26,Male,No,4,0,2556
Bachelors,2018,Bangalore,3,27,Female,Yes,5,1,1137
Bachelors,2016,Bangalore,3,26,Male,No,4,0,2770
Bachelors,2017,New Delhi,2,25,Male,No,3,0,120
Masters,2013,New Delhi,3,41,Female,No,2,0,3809
Bachelors,2018,Bangalore,3,25,Female,No,3,1,1918
Bachelors,2013,Pune,3,24,Male,Yes,2,0,4577
Bachelors,2015,Pune,3,29,Male,No,1,0,2588
Bachelors,2017,Bangalore,3,34,Male,No,3,1,3177
Bachelors,2013,Pune,2,28,Male,No,5,0,4247
Bachelors,2014,Bangalore,3,27,Male,No,5,0,2732
Masters,2013,Bangalore,1,29,Female,No,2,1,2803
Bachelors,2018,Bangalore,3,25,Male,No,3,1,1710
Bachelors,2017,New Delhi,2,33,Male,No,3,0,4583
Masters,2017,New Delhi,2,34,Female,No,2,1,3194
PHD,2018,Bangalore,3,27,Male,No,5,1,1833
Bachelors,2017,New Delhi,2,33,Male,No,0,0,3779
Bachelors,2016,Bangalore,3,27,Female,No,5,0,521
Bachelors,2014,Pune,3,29,Male,No,3,0,2605
Bachelors,2016,Bangalore,3,29,Male,No,2,0,2104
Masters,2017,Bangalore,2,27,Male,No,5,0,1938
Masters,2015,Pune,2,24,Female,No,2,0,522
Masters,2012,Bangalore,2,32,Male,No,3,1,3033
Bachelors,2017,New Delhi,2,37,Male,No,0,0,3531
Bachelors,2013,Bangalore,3,27,Male,No,5,0,554
Bachelors,2013,Bangalore,3,24,Male,No,2,0,1360
Bachelors,2018,Bangalore,3,41,Male,No,4,1,3401
Bachelors,2016,Bangalore,3,27,Male,No,5,0,2097
Bachelors,2012,Bangalore,3,26,Male,No,4,0,1700
Bachelors,2017,Bangalore,3,28,Male,No,1,0,261
Masters,2018,New Delhi,3,28,Male,Yes,2,1,471
Masters,2013,Bangalore,3,30,Male,No,1,1,2775
Bachelors,2012,Bangalore,3,38,Male,Yes,0,0,3719
Masters,2017,New Delhi,2,24,Male,No,2,1,1968
PHD,2015,Pune,3,31,Female,No,1,0,3124
Bachelors,2017,Bangalore,3,26,Male,No,4,1,1628
Bachelors,2017,New Delhi,2,30,Male,No,5,0,4525
Bachelors,2014,New Delhi,3,24,Female,No,2,0,887
Bachelors,2012,Pune,3,25,Female,No,3,1,1333
Masters,2018,Bangalore,3,39,Male,No,3,1,3079
Bachelors,2016,New Delhi,3,24,Male,Yes,2,0,1976
Bachelors,2014,Bangalore,3,25,Female,No,3,1,1328
Bachelors,2014,Bangalore,3,25,Male,No,3,0,1043
Bachelors,2013,Pune,2,29,Female,No,0,1,2921
Bachelors,2013,Pune,2,30,Female,No,5,1,2952
Masters,2015,Pune,1,28,Female,No,3,1,106
Bachelors,2015,Pune,1,24,Female,Yes,2,1,225
Masters,2017,New Delhi,1,27,Male,No,5,0,1959
Bachelors,2014,Bangalore,1,26,Male,No,4,0,2990
Masters,2015,New Delhi,3,25,Male,No,3,0,307
Bachelors,2014,Pune,3,26,Male,No,4,0,1348
Bachelors,2014,Pune,3,29,Female,No,4,1,2866
Bachelors,2013,Pune,3,24,Female,No,2,1,1967
Masters,2018,New Delhi,3,35,Male,No,2,1,3868
Masters,2012,New Delhi,3,35,Female,No,4,1,3946
Bachelors,2013,Pune,2,36,Male,No,2,1,3812
Bachelors,2012,Bangalore,3,24,Male,No,2,0,4043
Bachelors,2013,Bangalore,1,28,Female,No,1,0,2347
Bachelors,2017,Bangalore,3,24,Female,No,2,1,1672
Masters,2013,New Delhi,3,26,Female,No,4,0,2063
Masters,2012,New Delhi,3,26,Female,No,4,0,2794
Masters,2013,New Delhi,2,27,Female,No,5,1,2547
Bachelors,2014,Bangalore,3,33,Male,No,5,1,3546
Bachelors,2017,Pune,2,24,Female,No,2,1,1509
Bachelors,2013,Pune,3,37,Male,No,3,0,4626
Bachelors,2017,Bangalore,3,29,Male,No,1,0,2925
Bachelors,2016,Bangalore,3,30,Female,Yes,2,0,2223
Bachelors,2015,Pune,3,25,Male,No,3,0,1157
Bachelors,2018,Pune,3,30,Male,Yes,3,1,2545
Bachelors,2017,New Delhi,3,24,Female,No,2,1,1009
Bachelors,2015,Pune,3,28,Male,No,3,0,579
Masters,2018,New Delhi,1,26,Female,No,4,1,973
Bachelors,2017,Bangalore,3,34,Male,No,0,0,1
Bachelors,2014,Pune,1,26,Female,No,4,1,373
Masters,2016,New Delhi,3,25,Female,No,3,0,1732
Bachelors,2017,Bangalore,3,29,Female,No,5,0,2823
Bachelors,2016,Bangalore,3,27,Female,No,5,1,563
Bachelors,2015,Pune,2,25,Female,No,3,1,1527
Bachelors,2012,Bangalore,3,25,Male,No,3,0,1584
Masters,2017,Pune,2,26,Female,No,4,1,271
Bachelors,2018,Pune,2,34,Female,No,4,1,4368
Bachelors,2018,Bangalore,3,28,Female,No,3,1,604
Bachelors,2017,Bangalore,3,35,Female,No,5,0,3306
Masters,2014,Pune,3,40,Male,No,4,1,3218
Bachelors,2012,Bangalore,3,32,Female,No,2,1,3421
Bachelors,2017,Pune,2,22,Female,No,0,1,4401
Bachelors,2017,Pune,2,25,Female,No,3,1,676
Masters,2013,New Delhi,3,35,Male,No,2,0,48
Bachelors,2014,Pune,3,25,Female,No,3,0,572
Bachelors,2017,New Delhi,3,28,Male,No,2,0,771
Bachelors,2013,Pune,3,37,Male,No,3,0,4626
Masters,2018,New Delhi,3,33,Female,No,2,1,4515
Bachelors,2013,Pune,2,26,Male,Yes,4,0,1868
Bachelors,2016,Pune,3,27,Male,No,5,0,1570
Bachelors,2017,New Delhi,1,28,Female,No,2,0,366
Bachelors,2014,Bangalore,3,33,Male,No,5,1,3546
Bachelors,2014,Pune,3,29,Male,No,2,0,2273
Bachelors,2014,Bangalore,3,25,Female,No,3,0,369
Masters,2013,New Delhi,3,27,Female,No,5,0,2290
Bachelors,2014,Bangalore,1,28,Female,No,2,0,2366
Bachelors,2013,Pune,3,28,Male,No,1,0,196
Bachelors,2013,Bangalore,3,26,Female,No,4,0,2638
Masters,2018,New Delhi,3,26,Male,No,4,1,4481
Masters,2017,New Delhi,2,25,Female,No,3,0,1914
Bachelors,2012,Bangalore,3,26,Male,No,4,0,2695
Bachelors,2016,Bangalore,3,27,Male,No,5,0,362
Bachelors,2017,New Delhi,3,29,Female,No,3,0,2721
Bachelors,2016,Bangalore,3,26,Male,No,4,0,144
Bachelors,2018,Bangalore,3,25,Female,No,3,1,1918
Bachelors,2014,Pune,2,40,Female,No,3,1,3676
Bachelors,2015,Bangalore,1,27,Male,No,5,0,2083
Bachelors,2014,Pune,1,28,Male,No,2,0,2447
Bachelors,2018,Bangalore,3,41,Female,No,2,1,3473
Bachelors,2017,Pune,2,37,Female,No,4,1,4205
Bachelors,2012,Bangalore,3,27,Male,No,5,0,4469
Bachelors,2013,Bangalore,3,22,Male,Yes,0,0,4378
Bachelors,2014,Pune,1,22,Female,No,0,1,64
Bachelors,2014,Pune,3,25,Female,No,3,0,73
Bachelors,2015,Pune,2,26,Female,Yes,4,1,1184
Bachelors,2013,Bangalore,3,23,Female,No,1,0,4426
Bachelors,2013,Pune,3,25,Male,No,3,0,102
Bachelors,2014,Bangalore,3,29,Male,No,2,0,2472
Bachelors,2015,Bangalore,3,34,Male,No,2,1,3942
Bachelors,2015,Pune,3,28,Male,No,1,0,2463
Masters,2017,Pune,2,25,Male,No,3,0,1723
Bachelors,2016,Pune,2,28,Female,No,0,1,1160
Masters,2017,New Delhi,2,28,Male,No,3,0,1221
Bachelors,2013,Bangalore,3,27,Male,No,5,0,2300
Bachelors,2014,Bangalore,3,28,Male,No,3,0,1807
Bachelors,2014,Bangalore,3,35,Male,Yes,0,0,3831
Bachelors,2015,Bangalore,3,25,Male,No,3,0,1311
Bachelors,2014,New Delhi,3,24,Female,No,2,0,992
Bachelors,2017,New Delhi,3,34,Male,No,3,0,3686
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,1249
Masters,2015,New Delhi,3,28,Female,No,3,0,765
Bachelors,2018,Pune,3,26,Male,No,4,1,506
Bachelors,2015,New Delhi,3,28,Female,No,2,0,2325
Bachelors,2017,Pune,2,37,Female,No,0,1,35
Bachelors,2017,Bangalore,3,32,Male,No,4,0,3827
Bachelors,2013,New Delhi,3,27,Female,No,5,0,1098
Bachelors,2016,Bangalore,3,37,Male,No,2,0,4634
PHD,2018,Bangalore,3,27,Male,No,5,1,1833
Bachelors,2016,Pune,1,25,Female,No,3,1,772
Bachelors,2015,Bangalore,3,39,Male,No,2,0,3731
Bachelors,2014,New Delhi,3,28,Female,No,1,0,860
Bachelors,2018,Bangalore,3,27,Male,No,5,1,2916
Bachelors,2013,Bangalore,3,33,Male,No,3,1,4450
Bachelors,2015,Pune,2,26,Female,No,4,1,1735
Bachelors,2017,New Delhi,2,22,Male,No,0,1,4473
Bachelors,2013,Bangalore,1,34,Male,No,4,1,3954
Bachelors,2014,Pune,1,22,Female,No,0,1,64
Bachelors,2013,Pune,2,29,Female,No,0,1,2921
Masters,2017,New Delhi,3,41,Male,No,3,1,3928
Masters,2017,Pune,3,24,Female,No,2,1,4433
Bachelors,2016,Bangalore,3,38,Male,No,1,0,3400
Bachelors,2017,Pune,3,27,Male,No,5,0,2386
Bachelors,2017,New Delhi,3,28,Male,No,1,0,2473
Bachelors,2015,Bangalore,3,26,Male,No,4,0,192
Bachelors,2012,Bangalore,3,37,Female,No,5,1,3080
Bachelors,2015,Bangalore,3,25,Female,No,3,1,694
PHD,2015,New Delhi,3,34,Female,No,4,0,3198
Bachelors,2018,Pune,3,31,Male,No,1,1,2999
Bachelors,2014,Pune,3,33,Male,No,3,0,4322
Bachelors,2015,Bangalore,3,26,Male,No,4,1,1720
Bachelors,2017,Bangalore,3,27,Male,No,5,0,556
Bachelors,2017,Bangalore,3,40,Female,No,5,0,3595
PHD,2015,New Delhi,3,25,Female,No,3,0,306
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,538
Bachelors,2016,Bangalore,3,27,Male,No,5,1,1683
Masters,2013,New Delhi,3,35,Male,No,2,0,48
Bachelors,2017,New Delhi,3,25,Female,No,3,0,1048
Bachelors,2017,Bangalore,3,26,Female,No,4,0,667
Masters,2018,New Delhi,3,25,Female,No,3,1,1029
Bachelors,2015,Pune,2,36,Female,No,0,1,3078
Bachelors,2015,New Delhi,3,35,Female,No,3,0,3502
Masters,2016,New Delhi,3,37,Female,No,2,1,3864
Bachelors,2016,Pune,2,37,Female,No,5,1,3117
Bachelors,2012,Bangalore,3,36,Male,No,5,0,3675
Masters,2017,New Delhi,1,24,Female,No,2,0,1825
Bachelors,2016,Bangalore,3,38,Male,No,4,0,4184
Bachelors,2017,Bangalore,3,27,Male,No,5,0,711
Masters,2013,Bangalore,3,30,Male,No,2,1,2753
Bachelors,2017,Bangalore,3,24,Male,No,2,0,1580
Bachelors,2016,Bangalore,3,33,Female,No,3,0,4229
Masters,2017,Bangalore,2,25,Male,No,3,0,1752
Masters,2017,New Delhi,2,40,Male,No,2,0,3512
Bachelors,2017,Pune,2,26,Female,No,4,1,578
Masters,2017,New Delhi,3,29,Female,No,2,0,2778
Bachelors,2014,Bangalore,1,28,Male,No,1,0,2476
Bachelors,2014,Pune,2,28,Female,No,1,1,2127
Masters,2017,Pune,1,28,Male,No,0,0,1626
PHD,2013,Bangalore,2,41,Male,No,2,1,3423
Bachelors,2015,Pune,2,27,Female,No,5,1,1472
Bachelors,2015,Bangalore,3,22,Male,Yes,0,0,4326
PHD,2018,New Delhi,3,24,Male,No,2,1,4410
Bachelors,2017,Pune,3,34,Female,No,1,0,3801
Masters,2017,New Delhi,3,29,Female,Yes,2,0,2622
Bachelors,2012,Bangalore,3,31,Male,No,4,0,3125
Bachelors,2017,Pune,2,25,Female,No,3,1,676
Bachelors,2014,New Delhi,3,25,Female,No,3,0,216
Bachelors,2012,New Delhi,3,26,Female,No,4,0,682
Bachelors,2013,Bangalore,3,38,Male,No,0,0,3658
Bachelors,2014,Bangalore,3,27,Male,No,5,0,2425
Bachelors,2013,Bangalore,3,27,Female,No,5,0,2070
Bachelors,2017,New Delhi,2,26,Female,No,4,0,2581
Bachelors,2018,Pune,3,34,Male,No,0,1,4209
Bachelors,2017,Bangalore,3,30,Male,No,4,0,2708
Bachelors,2016,Bangalore,3,29,Male,No,2,0,2151
Bachelors,2017,Pune,2,24,Male,No,2,0,1104
Bachelors,2018,Bangalore,3,24,Male,No,2,1,542
Bachelors,2012,Bangalore,3,28,Female,No,2,0,865
Bachelors,2014,Bangalore,3,22,Female,No,0,1,4330
Bachelors,2014,Bangalore,3,39,Male,No,5,0,3619
Bachelors,2017,Pune,2,24,Male,No,2,1,349
Bachelors,2012,Pune,3,39,Male,No,4,0,4490
Bachelors,2014,Pune,2,29,Male,No,2,1,2193
Masters,2012,Pune,3,24,Male,No,2,0,446
Bachelors,2015,Bangalore,3,38,Male,No,5,0,3829
Bachelors,2014,Pune,3,27,Male,No,5,0,846
Bachelors,2012,Bangalore,3,27,Male,No,5,1,2809
Masters,2017,New Delhi,3,33,Female,No,0,1,4234
Bachelors,2012,Pune,3,39,Male,No,4,0,4490
Bachelors,2015,Bangalore,3,28,Male,No,2,0,117
Bachelors,2013,Pune,3,28,Male,No,2,0,2429
Bachelors,2017,Bangalore,3,27,Male,No,5,0,211
Masters,2017,New Delhi,2,28,Male,No,3,0,1221
Masters,2012,Pune,3,27,Female,No,5,1,478
Bachelors,2014,Pune,3,25,Male,No,3,0,1905
Masters,2017,Pune,1,39,Male,No,0,0,3625
Bachelors,2018,Bangalore,3,24,Male,No,2,1,788
Bachelors,2015,New Delhi,3,35,Female,No,3,0,3502
Bachelors,2016,Bangalore,3,34,Male,No,1,0,4311
Bachelors,2014,New Delhi,3,41,Male,No,5,0,3814
Bachelors,2013,Pune,2,28,Female,No,3,1,243
Bachelors,2012,Pune,2,26,Female,No,4,1,553
Bachelors,2012,Bangalore,3,32,Male,No,4,0,4208
Bachelors,2013,Pune,2,24,Male,No,2,1,4095
Bachelors,2015,Pune,3,39,Female,No,2,1,4425
Bachelors,2018,Pune,1,26,Male,Yes,4,0,1869
Bachelors,2017,Bangalore,3,25,Male,No,3,0,1307
Masters,2017,New Delhi,2,29,Female,No,2,0,2367
Bachelors,2015,Pune,2,28,Female,Yes,2,1,4536
Masters,2017,New Delhi,2,28,Male,No,2,0,2333
Bachelors,2012,New Delhi,3,27,Female,No,5,0,294
Bachelors,2013,Bangalore,3,31,Female,No,0,1,82
Masters,2017,New Delhi,3,26,Male,No,4,1,4053
Bachelors,2015,Bangalore,3,27,Female,No,5,0,1146
Bachelors,2013,Pune,3,36,Female,No,0,1,4451
Bachelors,2015,Pune,3,24,Female,No,2,1,1154
Bachelors,2017,Bangalore,3,29,Male,No,0,0,2915
Bachelors,2015,Pune,2,34,Female,No,5,1,3075
Bachelors,2017,Bangalore,3,27,Male,No,5,0,1640
Bachelors,2015,Bangalore,3,35,Male,Yes,2,0,3718
Bachelors,2014,New Delhi,3,26,Male,No,4,0,1252
Bachelors,2015,Bangalore,3,28,Male,No,2,0,2044
Masters,2017,New Delhi,3,28,Male,No,2,0,1617
Masters,2017,Pune,2,26,Female,No,4,1,2226
Bachelors,2015,Bangalore,3,37,Female,No,4,0,3749
PHD,2015,Bangalore,3,29,Male,No,2,0,2200
PHD,2018,New Delhi,2,30,Female,No,4,1,2797
Bachelors,2016,Pune,2,30,Female,No,1,1,2883
Bachelors,2015,New Delhi,3,25,Female,Yes,3,0,4091
Bachelors,2017,Pune,3,27,Male,No,5,0,2386
Bachelors,2015,Pune,2,36,Female,Yes,0,1,3086
Masters,2017,New Delhi,2,30,Female,No,2,0,2818
Bachelors,2015,New Delhi,2,28,Female,No,1,1,1955
Bachelors,2013,Bangalore,3,28,Male,No,1,0,2799
Bachelors,2013,Bangalore,3,35,Female,No,0,0,3318
Bachelors,2012,Bangalore,3,39,Male,No,3,0,4109
Bachelors,2014,Bangalore,3,39,Male,No,7,1,3976
Bachelors,2012,Bangalore,3,26,Female,No,4,0,841
Bachelors,2015,Pune,3,24,Female,No,2,1,1433
Masters,2017,New Delhi,3,34,Female,No,2,0,3521
Bachelors,2017,Bangalore,3,33,Female,No,6,0,3970
Bachelors,2012,Bangalore,3,35,Male,No,1,1,3742
Bachelors,2015,Pune,1,24,Female,No,2,1,1586
Bachelors,2017,Pune,2,28,Male,No,3,0,1576
Bachelors,2016,Bangalore,3,31,Male,No,0,0,4297
Bachelors,2015,Bangalore,3,32,Female,No,4,0,4574
Masters,2017,New Delhi,2,27,Male,No,5,1,2395
Bachelors,2014,New Delhi,3,26,Male,No,4,0,1252
Bachelors,2017,New Delhi,2,38,Male,No,0,0,3735
Bachelors,2017,Bangalore,3,24,Male,No,2,0,482
Bachelors,2016,Bangalore,3,25,Male,No,3,0,541
Masters,2017,New Delhi,2,37,Female,No,2,0,3778
Bachelors,2013,Bangalore,3,37,Female,No,2,1,4501
Masters,2017,Bangalore,2,26,Female,No,4,0,1773
Bachelors,2013,Bangalore,3,26,Male,No,4,0,2943
Bachelors,2015,Bangalore,1,25,Male,No,3,0,668
Bachelors,2017,New Delhi,3,28,Female,No,2,0,571
Bachelors,2013,Bangalore,3,26,Male,No,4,0,1606
Bachelors,2017,Bangalore,3,25,Male,No,3,1,786
Bachelors,2017,Pune,2,26,Male,No,4,0,1297
Bachelors,2015,Pune,2,32,Female,No,3,1,3376
Bachelors,2016,Bangalore,3,28,Male,No,3,0,942
Bachelors,2013,Bangalore,3,25,Female,No,3,0,4647
Bachelors,2013,New Delhi,3,37,Female,No,0,0,3214
Bachelors,2018,Bangalore,3,24,Male,Yes,2,1,1058
Bachelors,2018,New Delhi,3,28,Female,No,0,1,1367
Bachelors,2017,Bangalore,3,35,Male,Yes,0,0,3848
Bachelors,2013,Pune,1,39,Female,Yes,0,1,4491
Bachelors,2015,New Delhi,3,28,Male,No,1,0,1162
Bachelors,2015,Bangalore,3,23,Male,No,1,0,28
Masters,2013,New Delhi,3,41,Female,Yes,2,1,3679
Bachelors,2015,Bangalore,3,33,Male,Yes,4,0,4462
Bachelors,2016,Pune,3,35,Male,No,1,0,4486
Bachelors,2015,Bangalore,3,26,Male,No,4,0,4151
Bachelors,2016,Pune,2,30,Female,No,1,1,2883
Bachelors,2015,Bangalore,3,30,Male,No,1,0,2319
Bachelors,2018,Bangalore,3,28,Male,No,1,1,2598
Bachelors,2015,New Delhi,3,25,Female,No,3,0,1856
Bachelors,2015,Pune,3,25,Male,No,3,0,172
Bachelors,2016,New Delhi,3,34,Male,No,1,0,3137
Bachelors,2015,Bangalore,3,28,Female,No,1,0,513
Bachelors,2012,Bangalore,3,35,Male,No,1,0,3213
Bachelors,2017,New Delhi,2,39,Female,No,2,0,4334
Bachelors,2014,New Delhi,3,30,Female,No,3,0,4384
Bachelors,2013,Bangalore,3,26,Male,No,4,0,175
Bachelors,2016,Pune,3,28,Male,No,1,0,787
Bachelors,2013,Bangalore,3,28,Male,No,2,1,1667
Bachelors,2018,Bangalore,3,24,Male,No,2,1,1447
Bachelors,2014,Pune,3,27,Male,No,5,0,473
Bachelors,2015,Bangalore,3,38,Female,No,4,0,3887
Bachelors,2017,New Delhi,2,26,Female,No,4,0,4544
Bachelors,2014,Bangalore,3,38,Male,No,3,0,4327
Bachelors,2012,Bangalore,3,31,Male,No,0,0,4002
Masters,2013,New Delhi,3,25,Male,No,3,1,1579
Bachelors,2017,Bangalore,3,39,Male,No,2,0,3432
Bachelors,2015,Bangalore,3,27,Female,No,5,0,194
Bachelors,2015,Pune,2,39,Female,No,5,1,3859
Bachelors,2014,Bangalore,3,24,Male,No,2,0,802
Bachelors,2013,Pune,3,27,Male,No,5,0,1145
Bachelors,2015,Pune,3,28,Male,No,2,0,1884
Bachelors,2012,New Delhi,3,24,Female,No,2,0,402
Bachelors,2017,Pune,2,33,Female,No,2,1,4500
Bachelors,2014,Pune,2,40,Female,No,3,1,3676
Bachelors,2015,Bangalore,3,40,Male,No,5,0,3794
Bachelors,2017,Bangalore,2,38,Female,No,5,1,3429
Bachelors,2012,Bangalore,3,27,Male,No,5,0,2462
Bachelors,2014,Bangalore,3,36,Female,No,0,0,3823
Bachelors,2014,New Delhi,3,25,Female,No,3,0,1865
Bachelors,2017,Bangalore,3,25,Male,No,3,0,1150
Bachelors,2017,Bangalore,3,29,Male,No,4,0,2812
Bachelors,2016,Pune,3,27,Male,No,5,0,1442
Bachelors,2015,Bangalore,3,26,Male,No,4,0,4151
Bachelors,2015,Bangalore,3,27,Male,No,5,0,2835
Bachelors,2018,Bangalore,3,34,Male,Yes,2,1,3057
Bachelors,2013,Pune,3,35,Male,No,1,0,4079
Bachelors,2014,Pune,3,34,Male,No,3,0,3007
Bachelors,2015,Bangalore,3,36,Male,No,1,0,41
Bachelors,2017,Pune,3,26,Male,No,4,0,1412
Bachelors,2012,Pune,3,39,Male,No,2,0,3165
Masters,2013,New Delhi,3,33,Female,No,2,0,4428
Bachelors,2013,Bangalore,3,37,Female,No,4,0,4282
Bachelors,2017,New Delhi,3,40,Male,No,1,0,3442
Bachelors,2017,New Delhi,2,31,Male,No,1,0,4601
Bachelors,2015,Pune,2,41,Female,No,7,0,3990
Bachelors,2018,Bangalore,3,24,Male,No,2,1,4100
Bachelors,2013,Bangalore,3,22,Male,No,0,1,4562
Masters,2014,Bangalore,3,27,Female,No,5,1,777
Bachelors,2018,Bangalore,3,26,Male,No,4,1,290
Bachelors,2014,Bangalore,3,24,Female,No,2,0,1278
Bachelors,2015,Bangalore,3,26,Male,No,4,0,960
Masters,2014,New Delhi,3,28,Male,No,0,0,2884
Bachelors,2016,Pune,3,26,Male,No,4,0,687
Bachelors,2018,Bangalore,3,28,Male,No,3,1,2688
Bachelors,2017,Pune,2,32,Female,No,2,1,3455
Masters,2017,New Delhi,1,37,Male,No,0,0,4478
Bachelors,2016,Bangalore,3,24,Male,No,2,0,4045
PHD,2015,Pune,2,35,Female,No,0,0,4474
Bachelors,2018,Bangalore,3,26,Male,No,4,1,1068
Bachelors,2016,Bangalore,3,25,Female,No,3,0,1939
Bachelors,2014,Bangalore,3,30,Female,No,1,0,2446
Bachelors,2018,Bangalore,3,41,Male,No,4,1,3401
Bachelors,2017,Pune,2,26,Male,No,4,0,2679
Masters,2017,Bangalore,2,24,Female,Yes,2,1,1177
Bachelors,2014,New Delhi,3,25,Male,No,3,0,1289
Bachelors,2015,Pune,2,25,Female,No,3,1,1527
Bachelors,2015,New Delhi,3,33,Male,No,1,0,3554
Bachelors,2013,Pune,3,27,Male,No,5,0,1722
Bachelors,2018,Bangalore,3,25,Male,Yes,3,1,1191
Bachelors,2017,Bangalore,3,24,Female,Yes,2,0,807
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,421
Bachelors,2015,Pune,3,32,Female,No,3,1,3885
Bachelors,2017,Bangalore,3,27,Male,No,5,1,1909
Masters,2013,Bangalore,3,30,Male,No,2,1,2753
Masters,2017,Pune,2,39,Female,No,3,0,3141
Bachelors,2014,New Delhi,3,30,Male,No,1,0,2099
Bachelors,2018,New Delhi,3,27,Female,Yes,5,1,2451
Bachelors,2013,New Delhi,3,26,Male,No,4,0,2427
Masters,2017,Bangalore,2,35,Female,No,0,0,4193
Bachelors,2013,Bangalore,3,27,Male,No,5,0,2162
Masters,2014,Bangalore,3,24,Female,No,2,1,523
Bachelors,2014,Bangalore,3,30,Male,No,2,1,2680
Bachelors,2015,Bangalore,3,35,Male,No,0,0,3231
Bachelors,2013,Bangalore,3,29,Male,No,1,0,2712
